dateTime,download,upload,device
Thu 10 Dec 12:00:01  2020,32.02,8.88,cowpi-0abe
Thu 10 Dec 12:30:01  2020,84.42,8.01,cowpi-0abe
Thu 10 Dec 13:00:01  2020,83.63,30.69,cowpi-0abe
Thu 10 Dec 13:30:01  2020,26.27,20.24,cowpi-0abe
Thu 10 Dec 14:00:01  2020,61.06,6.47,cowpi-0abe
Thu 10 Dec 14:30:01  2020,79.23,4.75,cowpi-0abe
Thu 10 Dec 15:00:01  2020,69,25.06,cowpi-0abe
Thu 10 Dec 15:30:01  2020,66.49,7.75,cowpi-0abe
Thu 10 Dec 16:00:01  2020,65.38,1.79,cowpi-0abe
Thu 10 Dec 16:30:01  2020,30.46,11.12,cowpi-0abe
Thu 10 Dec 17:00:01  2020,61.34,25.82,cowpi-0abe
Thu 10 Dec 17:30:01  2020,52.26,22.9,cowpi-0abe
Thu 10 Dec 18:00:01  2020,41.62,25.48,cowpi-0abe
Thu 10 Dec 18:30:01  2020,34.41,21.94,cowpi-0abe
Thu 10 Dec 19:00:01  2020,40.73,24.25,cowpi-0abe
Thu 10 Dec 19:30:01  2020,80.98,25.93,cowpi-0abe
Thu 10 Dec 20:00:01  2020,47.91,22.45,cowpi-0abe
Thu 10 Dec 20:30:01  2020,26.6,10.82,cowpi-0abe
Thu 10 Dec 21:00:01  2020,81.62,16.44,cowpi-0abe
Thu 10 Dec 21:30:01  2020,51.72,19.18,cowpi-0abe
Thu 10 Dec 22:00:01  2020,65.67,22.38,cowpi-0abe
Thu 10 Dec 22:30:01  2020,72.51,17.56,cowpi-0abe
Thu 10 Dec 23:00:01  2020,57.73,19.59,cowpi-0abe
Thu 10 Dec 23:30:01  2020,51.45,23.78,cowpi-0abe
Fri 11 Dec 00:00:01  2020,37.07,21.25,cowpi-0abe
Fri 11 Dec 00:30:01  2020,39.48,26.03,cowpi-0abe
Fri 11 Dec 01:00:01  2020,83.6,23.82,cowpi-0abe
Fri 11 Dec 01:30:01  2020,58.02,28.33,cowpi-0abe
Fri 11 Dec 02:00:01  2020,54.15,25.46,cowpi-0abe
Fri 11 Dec 02:30:01  2020,49.16,23.48,cowpi-0abe
Fri 11 Dec 03:00:01  2020,41.43,14.72,cowpi-0abe
Fri 11 Dec 03:30:01  2020,49.29,28.72,cowpi-0abe
Fri 11 Dec 04:00:01  2020,49.25,22.16,cowpi-0abe
