Date,Download,Upload
Sun 13 Dec 23:30:02 IST 2020,25.57,30.44
Mon 14 Dec 00:00:01 IST 2020,86.99,26.67
Mon 14 Dec 00:30:01 IST 2020,48.52,27.36
Mon 14 Dec 01:00:01 IST 2020,55.89,28.34
Mon 14 Dec 01:30:01 IST 2020,66.68,33.78
Mon 14 Dec 02:00:01 IST 2020,86.87,35.36
Mon 14 Dec 02:30:01 IST 2020,32.64,34.31
Mon 14 Dec 03:00:01 IST 2020,83.43,34.31
Mon 14 Dec 03:30:01 IST 2020,85.51,32.54
Mon 14 Dec 04:00:01 IST 2020,86.75,35.33
Mon 14 Dec 04:30:01 IST 2020,29.15,33.59
Mon 14 Dec 05:00:01 IST 2020,82.72,35.26
Mon 14 Dec 05:30:01 IST 2020,83.05,33.88
Mon 14 Dec 06:00:01 IST 2020,85.77,37.21
Mon 14 Dec 06:30:01 IST 2020,24.74,35.16
Mon 14 Dec 07:00:01 IST 2020,66.04,25.17
Mon 14 Dec 07:30:01 IST 2020,73.24,27.08
Mon 14 Dec 08:00:01 IST 2020,70.69,28.37
Mon 14 Dec 08:30:01 IST 2020,64.01,21.41
Mon 14 Dec 09:00:01 IST 2020,43.84,32.67
Mon 14 Dec 09:30:01 IST 2020,57.95,24.68
Mon 14 Dec 10:00:01 IST 2020,22.6,33.41
Mon 14 Dec 10:30:01 IST 2020,60.46,19.94
Mon 14 Dec 11:00:01 IST 2020,65.21,24.95
Mon 14 Dec 11:30:01 IST 2020,6.75,31.44
Mon 14 Dec 12:00:01 IST 2020,50.93,2.76
Mon 14 Dec 12:30:01 IST 2020,54.74,21.26
Mon 14 Dec 13:00:01 IST 2020,51.99,26.77
Mon 14 Dec 13:30:01 IST 2020,76.75,23.67
Mon 14 Dec 14:00:01 IST 2020,40.56,22.82
Mon 14 Dec 14:30:01 IST 2020,,
Mon 14 Dec 15:00:01 IST 2020,53.75,0.09
Mon 14 Dec 15:30:01 IST 2020,56.93,0.26
Mon 14 Dec 16:00:01 IST 2020,45.16,0.26
Mon 14 Dec 16:30:01 IST 2020,25.42,0
Mon 14 Dec 17:00:01 IST 2020,49.98,0.18
Mon 14 Dec 17:30:01 IST 2020,49.11,0.16
Mon 14 Dec 18:00:01 IST 2020,74.98,0.1
Mon 14 Dec 18:30:01 IST 2020,77.97,0.32
Mon 14 Dec 19:00:01 IST 2020,16.2,0.33
Mon 14 Dec 19:30:01 IST 2020,4.53,9.73
Mon 14 Dec 20:00:01 IST 2020,13.93,8.87
Mon 14 Dec 20:30:01 IST 2020,4.71,23.18
Mon 14 Dec 21:00:01 IST 2020,75.34,26.99
Mon 14 Dec 21:30:02 IST 2020,70.58,23.77
Mon 14 Dec 22:00:01 IST 2020,68.82,25.23
Mon 14 Dec 22:30:01 IST 2020,4.44,23.96
Mon 14 Dec 23:00:01 IST 2020,61.41,23.61
Mon 14 Dec 23:30:01 IST 2020,5.56,22.54
Tue 15 Dec 00:00:01 IST 2020,58.85,25.46
Tue 15 Dec 00:30:02 IST 2020,65.75,24.54
Tue 15 Dec 01:00:01 IST 2020,66.16,25.79
Tue 15 Dec 01:30:01 IST 2020,77.21,27.25
Tue 15 Dec 02:00:01 IST 2020,84.66,12.74
Tue 15 Dec 02:30:01 IST 2020,82.74,23.21
Tue 15 Dec 03:00:02 IST 2020,73.33,20.73
Tue 15 Dec 03:30:01 IST 2020,76.74,23.23
Tue 15 Dec 04:00:01 IST 2020,55.15,30.4
Tue 15 Dec 04:30:01 IST 2020,84.51,18.45
Tue 15 Dec 05:00:01 IST 2020,85.83,34.14
Tue 15 Dec 05:30:01 IST 2020,8,29.71
Tue 15 Dec 06:00:01 IST 2020,30.76,19.25
Tue 15 Dec 06:30:01 IST 2020,63.15,25.25
Tue 15 Dec 07:00:01 IST 2020,76.29,17.94
Tue 15 Dec 07:30:01 IST 2020,82.59,27.31
Tue 15 Dec 08:00:01 IST 2020,23.95,28.78
Tue 15 Dec 08:30:01 IST 2020,75.94,17.29
Tue 15 Dec 09:00:01 IST 2020,43.32,18.83
Tue 15 Dec 09:30:01 IST 2020,74.91,27.89
Tue 15 Dec 10:00:01 IST 2020,13.11,31.13
Tue 15 Dec 10:30:01 IST 2020,32.6,13.89
Tue 15 Dec 11:00:01 IST 2020,35.71,18.2
Tue 15 Dec 11:30:01 IST 2020,75.27,25.27
Tue 15 Dec 12:00:01 IST 2020,17.99,33.32
Tue 15 Dec 12:30:01 IST 2020,3.53,27.32
Tue 15 Dec 13:00:01 IST 2020,20.23,27.99
Tue 15 Dec 13:30:01 IST 2020,7.89,30.31
Tue 15 Dec 14:00:01 IST 2020,16.49,22.99
Tue 15 Dec 14:30:01 IST 2020,67.17,32.83
Tue 15 Dec 15:00:01 IST 2020,76.2,30.47
Tue 15 Dec 15:30:01 IST 2020,4.14,23.47
Tue 15 Dec 16:00:01 IST 2020,80.73,25.31
Tue 15 Dec 16:30:01 IST 2020,32.04,22.03
Tue 15 Dec 17:00:01 IST 2020,77.44,24.22
Tue 15 Dec 17:30:01 IST 2020,62.46,23.8
Tue 15 Dec 18:00:01 IST 2020,10.34,30.86
Tue 15 Dec 18:30:02 IST 2020,85.73,25.04
Tue 15 Dec 19:00:01 IST 2020,59.04,25.57
Tue 15 Dec 19:30:01 IST 2020,5.23,31.47
Tue 15 Dec 20:00:01 IST 2020,22.5,27.83
Tue 15 Dec 20:30:01 IST 2020,3.39,25.05
Tue 15 Dec 21:00:01 IST 2020,76.77,23.1
Tue 15 Dec 21:30:01 IST 2020,5.74,26.17
Tue 15 Dec 22:00:01 IST 2020,63.15,18.77
Tue 15 Dec 22:30:01 IST 2020,5.06,18.79
Tue 15 Dec 23:00:01 IST 2020,44.2,26.39
Tue 15 Dec 23:30:01 IST 2020,4.61,28.51
Wed 16 Dec 00:00:02 IST 2020,58.5,14.5
Wed 16 Dec 00:30:01 IST 2020,8.89,23.54
Wed 16 Dec 01:00:01 IST 2020,78.56,18.49
Wed 16 Dec 01:30:01 IST 2020,70.9,22.39
Wed 16 Dec 02:00:01 IST 2020,68.94,24.82
Wed 16 Dec 02:30:01 IST 2020,62.31,22.15
Wed 16 Dec 03:00:01 IST 2020,66.62,27.16
Wed 16 Dec 03:30:01 IST 2020,69.16,25.68
Wed 16 Dec 04:00:01 IST 2020,43.93,26.09
Wed 16 Dec 04:30:01 IST 2020,8.59,29.07
Wed 16 Dec 05:00:01 IST 2020,77.64,21.39
Wed 16 Dec 05:30:01 IST 2020,56.39,26.55
Wed 16 Dec 06:00:02 IST 2020,57.22,29.03
Wed 16 Dec 06:30:01 IST 2020,24.68,22.19
Wed 16 Dec 07:00:01 IST 2020,75.05,19.21
Wed 16 Dec 07:30:01 IST 2020,83.8,25.54
Wed 16 Dec 08:00:01 IST 2020,60.38,29.01
Wed 16 Dec 08:30:01 IST 2020,7.18,22.92
Wed 16 Dec 09:00:02 IST 2020,28.67,22.57
Wed 16 Dec 09:30:01 IST 2020,14.14,29.19
Wed 16 Dec 10:00:01 IST 2020,14.44,26.88
Wed 16 Dec 10:30:01 IST 2020,5.49,30.05
Wed 16 Dec 11:00:01 IST 2020,67.1,26.29
Wed 16 Dec 11:30:01 IST 2020,7.1,24.36
Wed 16 Dec 12:00:02 IST 2020,81.92,26.87
Wed 16 Dec 12:30:01 IST 2020,84.03,24.74
Wed 16 Dec 13:00:01 IST 2020,82.58,23.93
Wed 16 Dec 13:30:01 IST 2020,5.22,17.81
Wed 16 Dec 14:00:01 IST 2020,8.85,16.25
Wed 16 Dec 14:30:02 IST 2020,13.75,13.89
Wed 16 Dec 15:00:01 IST 2020,7.57,14.64
Wed 16 Dec 15:30:01 IST 2020,7.07,9.89
Wed 16 Dec 16:00:01 IST 2020,66.87,23.76
Wed 16 Dec 16:30:01 IST 2020,3.23,13.82
Wed 16 Dec 17:00:01 IST 2020,2.33,15.77
Wed 16 Dec 17:30:01 IST 2020,68.89,21.96
Wed 16 Dec 18:00:01 IST 2020,2.2,11
Wed 16 Dec 18:30:01 IST 2020,6.15,6.18
Wed 16 Dec 19:00:01 IST 2020,2.96,16.36
Wed 16 Dec 19:30:01 IST 2020,73.23,22.27
Wed 16 Dec 20:00:01 IST 2020,2.53,12.33
Wed 16 Dec 20:30:01 IST 2020,3.32,12.07
Wed 16 Dec 21:00:01 IST 2020,3.15,12.12
Wed 16 Dec 21:30:01 IST 2020,5.29,15.78
Wed 16 Dec 22:00:01 IST 2020,30.68,22.16
Wed 16 Dec 22:30:01 IST 2020,12.32,13.58
Wed 16 Dec 23:00:01 IST 2020,28.27,23.83
Wed 16 Dec 23:30:01 IST 2020,14.5,20.49
Thu 17 Dec 00:00:01 IST 2020,84.4,33.48
Thu 17 Dec 00:30:01 IST 2020,85.21,28.92
Thu 17 Dec 01:00:01 IST 2020,36.39,0
Thu 17 Dec 01:30:01 IST 2020,,
Thu 17 Dec 02:00:01 IST 2020,,
Thu 17 Dec 02:30:01 IST 2020,,
Thu 17 Dec 03:00:01 IST 2020,,
Thu 17 Dec 03:30:01 IST 2020,,
Thu 17 Dec 04:00:01 IST 2020,,
Thu 17 Dec 04:30:01 IST 2020,,
Thu 17 Dec 05:00:01 IST 2020,,
Thu 17 Dec 05:30:01 IST 2020,,
Thu 17 Dec 06:00:01 IST 2020,,
Thu 17 Dec 06:30:01 IST 2020,,
Thu 17 Dec 07:00:01 IST 2020,,
Thu 17 Dec 07:30:01 IST 2020,,
Thu 17 Dec 08:00:01 IST 2020,16.84,16.24
Thu 17 Dec 08:30:01 IST 2020,62.19,26.99
Thu 17 Dec 09:00:01 IST 2020,80.31,18.88
Thu 17 Dec 09:30:01 IST 2020,32.61,22.18
Thu 17 Dec 10:00:01 IST 2020,43.7,22.94
Thu 17 Dec 10:30:01 IST 2020,19.86,21.79
Thu 17 Dec 11:00:01 IST 2020,62.55,19.88
Thu 17 Dec 11:30:01 IST 2020,24.73,18.66
Thu 17 Dec 12:00:01 IST 2020,31.86,25.27
Thu 17 Dec 12:30:01 IST 2020,1.39,15.8
Thu 17 Dec 13:00:01 IST 2020,1.32,9.82
Thu 17 Dec 13:30:01 IST 2020,2.86,14.13
Thu 17 Dec 14:00:01 IST 2020,2.18,17.84
Thu 17 Dec 14:30:01 IST 2020,59,17.15
Thu 17 Dec 15:00:01 IST 2020,1.2,2.67
Thu 17 Dec 15:30:01 IST 2020,77.69,28.45
Thu 17 Dec 16:00:01 IST 2020,36.2,23.75
Thu 17 Dec 16:30:01 IST 2020,25.81,22.14
Thu 17 Dec 17:00:01 IST 2020,32.64,19.5
Thu 17 Dec 17:30:01 IST 2020,58.2,22.49
Thu 17 Dec 18:00:01 IST 2020,87.05,25.28
Thu 17 Dec 18:30:01 IST 2020,,
Thu 17 Dec 19:00:01 IST 2020,,
Thu 17 Dec 19:30:01 IST 2020,,
Thu 17 Dec 20:00:01 IST 2020,,
Thu 17 Dec 20:30:01 IST 2020,,
Thu 17 Dec 21:00:01 IST 2020,,
Thu 17 Dec 21:30:01 IST 2020,,
Thu 17 Dec 22:00:01 IST 2020,,
Thu 17 Dec 22:30:01 IST 2020,,
Thu 17 Dec 23:00:01 IST 2020,,
Thu 17 Dec 23:30:01 IST 2020,,
Fri 18 Dec 00:00:01 IST 2020,,
Fri 18 Dec 00:30:01 IST 2020,,
Fri 18 Dec 01:00:01 IST 2020,,
Fri 18 Dec 01:30:01 IST 2020,,
Fri 18 Dec 02:00:01 IST 2020,,
Fri 18 Dec 02:30:01 IST 2020,,
Fri 18 Dec 03:00:01 IST 2020,,
Fri 18 Dec 03:30:01 IST 2020,,
Fri 18 Dec 04:00:01 IST 2020,,
Fri 18 Dec 04:30:01 IST 2020,,
Fri 18 Dec 05:00:01 IST 2020,,
Fri 18 Dec 05:30:01 IST 2020,,
Fri 18 Dec 06:00:01 IST 2020,,
Fri 18 Dec 06:30:01 IST 2020,,
Fri 18 Dec 07:00:01 IST 2020,,
Fri 18 Dec 07:30:01 IST 2020,83.5,18.57
Fri 18 Dec 08:00:01 IST 2020,79.72,22.13
Fri 18 Dec 08:30:01 IST 2020,50.23,19.52
Fri 18 Dec 09:00:01 IST 2020,57.39,16.54
Fri 18 Dec 09:30:01 IST 2020,47.38,17.02
Fri 18 Dec 10:00:01 IST 2020,60.17,18.37
Fri 18 Dec 10:30:01 IST 2020,67.1,14.22
Fri 18 Dec 11:00:01 IST 2020,64.97,8.94
Fri 18 Dec 11:30:01 IST 2020,68.3,15.71
Fri 18 Dec 12:00:01 IST 2020,37.61,16.33
Fri 18 Dec 12:30:01 IST 2020,77.47,20.08
Fri 18 Dec 13:00:01 IST 2020,76.33,8.14
Fri 18 Dec 13:30:01 IST 2020,81.78,31.6
Fri 18 Dec 14:00:01 IST 2020,9.34,30.55
Fri 18 Dec 14:30:01 IST 2020,80.16,27.16
Fri 18 Dec 15:00:01 IST 2020,1.96,26.9
Fri 18 Dec 15:30:01 IST 2020,42.21,13.09
Fri 18 Dec 16:00:01 IST 2020,76.89,22.46
Fri 18 Dec 16:30:01 IST 2020,81.93,31.29
Fri 18 Dec 17:00:01 IST 2020,22.8,31.47
Fri 18 Dec 17:30:01 IST 2020,74.94,27.72
Fri 18 Dec 18:00:01 IST 2020,46.54,15.18
Fri 18 Dec 18:30:01 IST 2020,62.03,17.65
Fri 18 Dec 19:00:01 IST 2020,59.72,10.97
Fri 18 Dec 19:30:01 IST 2020,,
Fri 18 Dec 20:00:01 IST 2020,,
Fri 18 Dec 20:30:01 IST 2020,,
Fri 18 Dec 21:00:01 IST 2020,,
Fri 18 Dec 21:30:01 IST 2020,6.62,2.03
Fri 18 Dec 22:00:01 IST 2020,15.64,0.35
Fri 18 Dec 22:30:01 IST 2020,,
Fri 18 Dec 23:00:01 IST 2020,,
Fri 18 Dec 23:30:01 IST 2020,,
Sat 19 Dec 00:00:01 IST 2020,52.24,33.09
Sat 19 Dec 00:30:01 IST 2020,59.08,31.22
Sat 19 Dec 01:00:01 IST 2020,60.44,32.66
Sat 19 Dec 01:30:02 IST 2020,87.68,35.48
Sat 19 Dec 02:00:02 IST 2020,86.03,37.41
Sat 19 Dec 02:30:01 IST 2020,,
Sat 19 Dec 03:00:01 IST 2020,,
Sat 19 Dec 03:30:01 IST 2020,,
Sat 19 Dec 04:00:02 IST 2020,,
Sat 19 Dec 04:30:01 IST 2020,,
Sat 19 Dec 05:00:01 IST 2020,,
Sat 19 Dec 05:30:01 IST 2020,,
Sat 19 Dec 06:00:01 IST 2020,,
Sat 19 Dec 06:30:01 IST 2020,,
Sat 19 Dec 07:00:01 IST 2020,,
Sat 19 Dec 07:30:01 IST 2020,,
Sat 19 Dec 08:00:01 IST 2020,,
Sat 19 Dec 08:30:01 IST 2020,,
Sat 19 Dec 09:00:02 IST 2020,,
Sat 19 Dec 09:30:01 IST 2020,,
Sat 19 Dec 10:00:01 IST 2020,,
Sat 19 Dec 10:30:01 IST 2020,,
Sat 19 Dec 11:00:01 IST 2020,,
Sat 19 Dec 11:30:01 IST 2020,,
Sat 19 Dec 12:00:01 IST 2020,,
Sat 19 Dec 12:30:01 IST 2020,,
Sat 19 Dec 13:00:01 IST 2020,,
Sat 19 Dec 13:30:01 IST 2020,,
Sat 19 Dec 14:00:01 IST 2020,,
Sat 19 Dec 14:30:01 IST 2020,,
Sat 19 Dec 15:00:01 IST 2020,,
Sat 19 Dec 15:30:01 IST 2020,,
Sat 19 Dec 16:00:01 IST 2020,,
Sat 19 Dec 16:30:01 IST 2020,,
Sat 19 Dec 17:00:01 IST 2020,,
Sat 19 Dec 17:30:01 IST 2020,,
Sat 19 Dec 18:00:01 IST 2020,,
Sat 19 Dec 18:30:01 IST 2020,59.79,35.09
Sat 19 Dec 19:00:01 IST 2020,81.75,25.05
Sat 19 Dec 19:30:01 IST 2020,76.41,26.86
Sat 19 Dec 20:00:01 IST 2020,79.06,26.39
