Date,Download,Upload
Sat 12 Dec 03:30:01 IST 2020,44.76,59.49
Sat 12 Dec 04:00:01 IST 2020,45.71,63.04
Sat 12 Dec 04:30:01 IST 2020,13.58,64.66
Sat 12 Dec 05:00:01 IST 2020,45.68,59.83
Sat 12 Dec 05:30:01 IST 2020,36.87,58.27
Sat 12 Dec 06:00:01 IST 2020,36.93,63.65
Sat 12 Dec 06:30:01 IST 2020,38.72,64.36
Sat 12 Dec 07:00:01 IST 2020,44.41,61.73
Sat 12 Dec 07:30:01 IST 2020,44.95,59.18
Sat 12 Dec 08:00:01 IST 2020,29.17,64.39
Sat 12 Dec 08:30:01 IST 2020,22.28,67.16
Sat 12 Dec 09:00:01 IST 2020,35.54,60.8
Sat 12 Dec 09:30:01 IST 2020,49.15,57.31
Sat 12 Dec 10:00:01 IST 2020,36.9,37.99
Sat 12 Dec 10:30:01 IST 2020,40.27,63.69
Sat 12 Dec 11:00:01 IST 2020,43.09,39.65
Sat 12 Dec 11:30:01 IST 2020,33.3,57.83
Sat 12 Dec 12:00:02 IST 2020,31.87,58.81
Sat 12 Dec 12:30:01 IST 2020,38.69,54.9
Sat 12 Dec 13:00:01 IST 2020,20.53,54.45
Sat 12 Dec 13:30:01 IST 2020,22.67,48.2
Sat 12 Dec 14:00:01 IST 2020,41.09,32.54
Sat 12 Dec 14:30:01 IST 2020,7.44,64.97
Sat 12 Dec 15:00:01 IST 2020,3.16,65.04
Sat 12 Dec 15:30:01 IST 2020,39.18,63.06
Sat 12 Dec 16:00:01 IST 2020,19.02,60.87
Sat 12 Dec 16:30:01 IST 2020,8.34,60.77
Sat 12 Dec 17:00:01 IST 2020,21.64,62.34
Sat 12 Dec 17:30:01 IST 2020,,
Sat 12 Dec 18:00:01 IST 2020,,
Sat 12 Dec 18:30:01 IST 2020,,
Sat 12 Dec 19:00:01 IST 2020,,
Sat 12 Dec 19:30:01 IST 2020,,
Sat 12 Dec 20:00:01 IST 2020,,
Sat 12 Dec 20:30:01 IST 2020,,
Sat 12 Dec 21:00:01 IST 2020,,
Sat 12 Dec 21:30:01 IST 2020,,
Sat 12 Dec 22:00:01 IST 2020,,
Sat 12 Dec 22:30:01 IST 2020,,
Sat 12 Dec 23:00:01 IST 2020,,
Sat 12 Dec 23:30:01 IST 2020,,
Sun 13 Dec 00:00:01 IST 2020,,
Sun 13 Dec 00:30:01 IST 2020,,
Sun 13 Dec 01:00:01 IST 2020,,
Sun 13 Dec 01:30:01 IST 2020,,
Sun 13 Dec 02:00:01 IST 2020,,
Sun 13 Dec 02:30:01 IST 2020,,
Sun 13 Dec 03:00:01 IST 2020,,
Sun 13 Dec 03:30:01 IST 2020,,
Sun 13 Dec 04:00:01 IST 2020,,
Sun 13 Dec 04:30:01 IST 2020,,
Sun 13 Dec 05:00:01 IST 2020,,
Sun 13 Dec 05:30:01 IST 2020,,
Sun 13 Dec 06:00:01 IST 2020,,
Sun 13 Dec 06:30:01 IST 2020,,
Sun 13 Dec 07:00:01 IST 2020,,
Sun 13 Dec 07:30:01 IST 2020,,
Sun 13 Dec 08:00:01 IST 2020,,
Sun 13 Dec 08:30:01 IST 2020,,
Sun 13 Dec 09:00:01 IST 2020,,
Sun 13 Dec 09:30:01 IST 2020,,
Sun 13 Dec 10:00:01 IST 2020,,
Sun 13 Dec 10:30:01 IST 2020,,
Sun 13 Dec 11:00:01 IST 2020,,
Sun 13 Dec 11:30:01 IST 2020,,
Sun 13 Dec 12:00:01 IST 2020,,
Sun 13 Dec 12:30:01 IST 2020,,
Sun 13 Dec 13:00:01 IST 2020,,
Sun 13 Dec 13:30:01 IST 2020,,
Sun 13 Dec 14:00:01 IST 2020,,
Sun 13 Dec 14:30:01 IST 2020,,
Sun 13 Dec 15:00:02 IST 2020,,
Sun 13 Dec 15:30:01 IST 2020,,
Sun 13 Dec 16:00:01 IST 2020,,
Sun 13 Dec 16:30:01 IST 2020,,
Sun 13 Dec 17:00:01 IST 2020,,
Sun 13 Dec 17:30:01 IST 2020,,
Sun 13 Dec 18:00:01 IST 2020,,
Sun 13 Dec 18:30:01 IST 2020,,
Sun 13 Dec 19:00:01 IST 2020,,
Sun 13 Dec 19:30:01 IST 2020,,
Sun 13 Dec 20:00:01 IST 2020,,
Sun 13 Dec 20:30:01 IST 2020,,
Sun 13 Dec 21:00:01 IST 2020,,
Sun 13 Dec 21:30:01 IST 2020,,
Sun 13 Dec 22:00:01 IST 2020,,
Sun 13 Dec 22:30:01 IST 2020,,
Sun 13 Dec 23:00:01 IST 2020,,
Sun 13 Dec 23:30:01 IST 2020,,
Mon 14 Dec 00:00:01 IST 2020,,
Mon 14 Dec 00:30:01 IST 2020,,
Mon 14 Dec 01:00:01 IST 2020,,
Mon 14 Dec 01:30:01 IST 2020,,
